1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
1.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00
0.43; 0.01; 0.00; 0.01; 0.00; 0.00; 0.00; 0.00; 0.01; 0.00; 0.00; 0.00; 0.01; 0.00; 0.52
0.30; 0.01; 0.00; 0.01; 0.00; 0.00; 0.00; 0.00; 0.01; 0.00; 0.02; 0.01; 0.01; 0.00; 0.64
0.21; 0.00; 0.00; 0.01; 0.00; 0.00; 0.00; 0.00; 0.01; 0.00; 0.05; 0.01; 0.00; 0.01; 0.69
0.15; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.02; 0.00; 0.15; 0.01; 0.00; 0.01; 0.65
0.10; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.02; 0.00; 0.28; 0.05; 0.00; 0.02; 0.53
0.07; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.02; 0.00; 0.42; 0.09; 0.00; 0.02; 0.39
0.05; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.02; 0.00; 0.54; 0.10; 0.00; 0.01; 0.27
0.04; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.02; 0.00; 0.59; 0.15; 0.00; 0.01; 0.19
0.02; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.06; 0.00; 0.57; 0.20; 0.00; 0.01; 0.13
0.02; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.18; 0.00; 0.48; 0.22; 0.00; 0.01; 0.09
0.01; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.41; 0.00; 0.35; 0.16; 0.00; 0.01; 0.07
0.01; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.56; 0.00; 0.26; 0.11; 0.00; 0.01; 0.05
0.01; 0.00; 0.00; 0.00; 0.01; 0.00; 0.00; 0.00; 0.57; 0.00; 0.27; 0.08; 0.00; 0.03; 0.03
0.00; 0.00; 0.00; 0.01; 0.01; 0.02; 0.00; 0.00; 0.65; 0.00; 0.20; 0.06; 0.00; 0.02; 0.02
0.00; 0.00; 0.00; 0.01; 0.02; 0.18; 0.00; 0.00; 0.56; 0.00; 0.14; 0.04; 0.00; 0.01; 0.02
0.00; 0.00; 0.00; 0.01; 0.02; 0.40; 0.00; 0.00; 0.41; 0.00; 0.10; 0.03; 0.00; 0.01; 0.01
